fixedacidity volatileacidity citricacid residualsugar chlorides freesulfurdioxide totalsulfurdioxide density pH sulphates alcohol y
7.2 0.585 0.2 10.4 0.086 17 94 0.99681 3.13 0.4 9.4 1
7.2 0.2 0.31 10 0.054 49 165 0.997 3.4 0.42 9.9 2
6.4 0.31 0.28 2.5 0.039 34 137 0.98946 3.22 0.38 12.7 2
7.8 0.42 0.23 8.8 0.054 42 215 0.9971 3.02 0.58 9.2 2
8 0.61 0.38 12.1 0.301 24 220 0.9993 2.94 0.48 9.2 1
6 0.22 0.28 1.1 0.034 47 90 0.98862 3.22 0.38 12.6 2
8.5 0.17 0.49 8.8 0.048 23 108 0.9947 2.88 0.34 10.5 1
6.8 0.27 0.37 8.2 0.055 52 192 0.99586 3.11 0.52 9.5 2
7 0.2 0.4 1.1 0.058 30 93 0.99322 3.03 0.38 9.2 2
7.1 0.36 0.24 1.8 0.025 32 102 0.9903 3.34 0.59 12.8 2
8 0.74 0.21 4 0.05 24 133 0.99418 3.06 0.38 9.7 1
7.4 0.25 0.36 2.05 0.05 31 100 0.992 3.19 0.44 10.8 2
5.8 0.19 0.24 1.3 0.044 38 128 0.99362 3.77 0.6 10.6 1
6.5 0.32 0.23 8.5 0.051 20 138 0.9943 3.03 0.42 10.7 1
5.7 0.45 0.42 1.1 0.051 61 197 0.9932 3.02 0.4 9 1
6 0.22 0.33 12.2 0.033 25 97 0.99356 3.17 0.42 11.3 3
6.3 0.15 0.34 11.4 0.05 25 96 0.99754 3.21 0.49 10 2
6.7 0.27 0.12 1.3 0.041 62 138 0.9921 3.21 0.42 10 2
6.8 0.4 0.29 2.8 0.044 27 97 0.9904 3.12 0.42 11.2 2
7.7 0.39 0.28 4.9 0.035 36 109 0.9918 3.19 0.58 12.2 3
7.2 0.24 0.28 1.9 0.032 30 92 0.9914 3.1 0.39 10.9 2
6.8 0.28 0.39 1.4 0.036 15 115 0.9918 3.27 0.72 11.7 1
5.9 0.24 0.26 12.3 0.053 34 134 0.9972 3.34 0.45 9.5 2
6.8 0.25 0.18 1.4 0.056 13 137 0.9935 3.11 0.42 9.5 1
7.5 0.17 0.44 11.3 0.046 65 146 0.997 3.17 0.45 10 2
7.1 0.42 0.2 2.8 0.038 28 109 0.98968 3.23 0.47 13.4 2
7 0.27 0.41 18.75 0.042 34 157 1.0002 2.96 0.5 9.1 1
6 0.29 0.41 10.8 0.048 55 149 0.9937 3.09 0.59 10.96666667 3
7.8 0.28 0.31 2.1 0.046 28 208 0.99434 3.23 0.64 9.8 1
5.2 0.16 0.34 0.8 0.029 26 77 0.99155 3.25 0.51 10.1 2
6.8 0.21 0.55 14.6 0.053 34 159 0.99805 2.93 0.44 9.2 1
5.8 0.32 0.23 1.5 0.033 39 121 0.9887 2.96 0.35 12 1
6.7 0.36 0.26 7.9 0.034 39 123 0.99119 2.99 0.3 12.2 3
7.5 0.35 0.37 2.5 0.066 29 89 0.98964 3.14 0.42 12.7 2
7.4 0.31 0.28 1.6 0.05 33 137 0.9929 3.31 0.56 10.5 2
6.4 0.16 0.25 1.4 0.057 21 125 0.99091 3.23 0.44 11.1 3
6.8 0.26 0.46 8.3 0.037 49 173 0.99601 3.17 0.47 9.3 1
6.5 0.35 0.36 0.8 0.034 32 111 0.98942 3.11 0.5 12.1 3
6.7 0.15 0.32 7.9 0.034 17 81 0.99512 3.29 0.31 10 2
7.5 0.24 0.31 13.1 0.05 26 180 0.99884 3.05 0.53 9.1 2
7.3 0.25 0.36 13.1 0.05 35 200 0.9986 3.04 0.46 8.9 3
7.8 0.19 0.32 7.4 0.015 47 124 0.99278 2.99 0.39 11 2
7 0.24 0.47 1.3 0.043 18 131 0.99176 3.19 0.45 11 2
7.1 0.85 0.49 8.7 0.028 40 184 0.9962 3.22 0.36 10.7 1
5.5 0.31 0.29 3 0.027 16 102 0.99067 3.23 0.56 11.2 2
5.5 0.16 0.22 4.5 0.03 30 102 0.9938 3.24 0.36 9.4 2
6.2 0.35 0.25 18.4 0.051 28 182 0.99946 3.13 0.62 9.3 2
8.7 0.24 0.35 0.6 0.042 11 71 0.9926 3.08 0.38 10.6 1
6.5 0.23 0.2 7.5 0.05 44 179 0.99504 3.18 0.48 9.533333333 1
6.3 0.3 0.34 1.6 0.049 14 132 0.994 3.3 0.49 9.5 2
7 0.21 0.31 6 0.046 29 108 0.9939 3.26 0.5 10.8 2
7.1 0.26 0.32 14.45 0.074 29 107 0.998 2.96 0.42 9.2 2
6.4 0.38 0.2 5.3 0.117 57 181 0.99459 3.24 0.43 9.5 2
8.4 0.18 0.42 5.1 0.036 7 77 0.9939 3.16 0.52 11.7 1
7.9 0.44 0.37 5.85 0.033 27 93 0.992 3.16 0.54 12.6 3
6.6 0.23 0.18 8.5 0.044 59 188 0.99558 3.16 0.49 9.5 1
6.4 0.16 0.31 5.3 0.043 42 157 0.99455 3.35 0.47 10.5 1
6.9 0.22 0.31 6.3 0.029 41 131 0.99326 3.08 0.49 10.8 2
5.9 0.415 0.02 0.8 0.038 22 63 0.9932 3.36 0.36 9.3 1
6.7 0.24 0.26 5.4 0.03 15 94 0.99045 3.15 0.38 12.7 2
7.8 0.24 0.18 6.7 0.046 33 160 0.9963 3.2 0.56 9.8 2
5.7 0.32 0.18 1.4 0.029 26 104 0.9906 3.44 0.37 11 2
7 0.19 0.33 6.3 0.032 42 127 0.99182 3.31 0.38 12.2 2
5.6 0.26 0.5 11.4 0.029 25 93 0.99428 3.23 0.49 10.5 2
6.5 0.31 0.14 7.5 0.044 34 133 0.9955 3.22 0.5 9.5 1
7.2 0.51 0.24 10 0.093 35 197 0.9981 3.41 0.47 9 1
7.6 0.31 0.27 5.8 0.036 23 109 0.99399 3.34 0.54 11 2
6.6 0.28 0.34 0.8 0.037 42 119 0.9888 3.03 0.37 12.5 2
5.8 0.23 0.2 2 0.043 39 154 0.99226 3.21 0.39 10.2 2
6.3 0.22 0.3 2 0.05 23 120 0.99204 3.24 0.47 10.4 2
8.3 0.2 0.35 0.9 0.05 12 74 0.992 3.13 0.38 10.5 2
6.6 0.42 0.13 12.8 0.044 26 158 0.99772 3.24 0.47 9 1
7.6 0.2 0.39 2.6 0.044 30 180 0.9941 3.46 0.44 10.8 3
6.7 0.13 0.28 1.2 0.046 35 140 0.9927 3.33 0.33 10.1 3
7.3 0.18 0.29 1.2 0.044 12 143 0.9918 3.2 0.48 11.3 3
6.8 0.19 0.34 1.9 0.04 41 108 0.99 3.25 0.45 12.9 2
7.7 0.3 0.42 14.3 0.045 45 213 0.9991 3.18 0.63 9.2 1
7.2 0.25 0.19 8 0.044 51 172 0.9964 3.16 0.44 9.2 1
6.4 0.105 0.29 1.1 0.035 44 140 0.99142 3.17 0.55 10.7 3
6.8 0.22 0.37 1.7 0.036 38 195 0.9908 3.35 0.72 12.5 2
6 0.18 0.27 1.5 0.089 40 143 0.9923 3.49 0.62 10.8 2
6.8 0.21 0.27 2.1 0.03 26 139 0.99 3.16 0.61 12.6 3
7.2 0.27 0.31 1.2 0.031 27 80 0.98892 3.03 0.33 12.7 2
6.1 0.15 0.35 15.8 0.042 55 158 0.99642 3.24 0.37 10.6 1
6.3 0.25 0.22 3.3 0.048 41 161 0.99256 3.16 0.5 10.5 2
7.6 0.32 0.34 18.35 0.054 44 197 1.0008 3.22 0.55 9 1
7 0.29 0.33 0.9 0.041 20 117 0.99048 3.21 0.5 11.4 1
6.4 0.24 0.49 5.8 0.053 25 120 0.9942 3.01 0.98 10.5 2
5.5 0.485 0 1.5 0.065 8 103 0.994 3.63 0.4 9.7 1
5.9 0.24 0.12 1.4 0.035 60 247 0.99358 3.34 0.44 9.6 2
7.5 0.18 0.31 6.5 0.029 53 160 0.99276 3.03 0.38 10.9 2
8.2 0.27 0.43 1.6 0.035 31 128 0.9916 3.1 0.5 12.3 2
7.4 0.32 0.55 16.6 0.056 53 238 1.0017 2.96 0.58 8.7 2
8.7 0.3 0.59 1.7 0.046 10 70 0.99373 3.06 0.56 10.8 1
6.4 0.24 0.26 8.2 0.054 47 182 0.99538 3.12 0.5 9.5 1
6.8 0.24 0.4 1.8 0.047 34 105 0.99 3.13 0.49 12.8 3
6.5 0.26 0.27 12.9 0.044 69 215 0.9967 3.17 0.43 10 2
6.3 0.28 0.22 11.5 0.036 27 150 0.99445 3 0.33 10.6 2
6.7 0.2 0.42 14 0.038 83 160 0.9987 3.16 0.5 9.4 2
7.8 0.39 0.26 9.9 0.059 33 181 0.9955 3.04 0.42 10.9 2
6.8 0.3 0.27 11.6 0.028 22 97 0.99314 2.96 0.38 11.7 2
7.4 0.41 0.66 10.8 0.051 77 194 0.9976 3.05 0.46 8.7 1
10.7 0.22 0.56 8.2 0.044 37 181 0.998 2.87 0.68 9.5 2
6.5 0.32 0.34 5.7 0.044 27 91 0.99184 3.28 0.6 12 3
7 0.32 0.35 1.5 0.039 24 125 0.9918 3.17 0.64 12.2 2
7.1 0.145 0.33 4.6 0.05 33 131 0.9942 3.28 0.4 9.6 2
6.8 0.18 0.28 8.7 0.047 52 242 0.9952 3.22 0.53 10.5 2
5.9 0.22 0.3 1.3 0.052 42 86 0.99069 3.31 0.47 11.55 2
6.5 0.41 0.24 14 0.048 24 113 0.9982 3.44 0.53 9.8 2
7.7 0.15 0.29 1.3 0.029 10 64 0.9932 3.35 0.39 10.1 1
6.7 0.37 0.41 6.3 0.061 22 149 0.9953 3.16 0.47 9.6 2
7.2 0.23 0.19 13.7 0.052 47 197 0.99865 3.12 0.53 9 1
7.1 0.55 0.13 1.7 0.073 21 165 0.994 2.97 0.58 9.2 2
7.6 0.54 0.23 2 0.029 13 151 0.9931 3.04 0.33 10.4 1
6.7 0.47 0.34 8.9 0.043 31 172 0.9964 3.22 0.6 9.2 1
6.9 0.75 0.13 6.3 0.036 19 50 0.99312 3.09 0.25 11.1 1
7.4 0.16 0.27 15.5 0.05 25 135 0.9984 2.9 0.43 8.7 3
6.2 0.31 0.23 3.3 0.052 34 113 0.99429 3.16 0.48 8.4 1
6.9 0.34 0.49 7.3 0.045 61 206 0.9957 3.09 0.4 9 2
7 0.35 0.24 1.9 0.04 21 144 0.9923 3.35 0.38 11 1
7.9 0.11 0.49 4.5 0.048 27 133 0.9946 3.24 0.42 10.6 2
7.3 0.31 0.69 10.2 0.041 58 160 0.9977 3.06 0.45 8.6 1
6.3 0.18 0.22 5.6 0.047 45 147 0.99383 3.09 0.54 10 1
6.3 0.34 0.36 4.9 0.035 31 185 0.9946 3.15 0.49 9.7 1
7.6 0.16 0.44 1.4 0.043 25 109 0.9932 3.11 0.75 10.3 2
6.6 0.15 0.34 1 0.037 45 79 0.98949 2.96 0.5 11.7 2
8.5 0.21 0.26 9.25 0.034 73 142 0.9945 3.05 0.37 11.4 2
7.2 0.31 0.46 5 0.04 3 29 0.9906 3.04 0.53 12.5 1
7.2 0.43 0.24 6.7 0.058 40 163 0.995 3.2 0.41 9.9 1
7.1 0.28 0.28 8.5 0.03 25 191 0.99338 3.16 0.46 12.2 3
6.5 0.31 0.61 13 0.053 31 123 0.99708 3.09 0.5 9.3 2
6.8 0.28 0.36 8 0.045 28 123 0.9928 3.02 0.37 11.4 2
8.9 0.33 0.32 1.5 0.047 11 200 0.9954 3.19 0.46 9.4 1
6.9 0.615 0.42 12 0.067 24 131 0.99727 3.19 0.34 9.3 1
6.1 0.24 0.26 1.7 0.033 61 134 0.9903 3.19 0.81 11.9 3
6.2 0.66 0.48 1.2 0.029 29 75 0.9892 3.33 0.39 12.8 3
6.4 0.24 0.31 2.8 0.038 41 114 0.99155 3.37 0.66 11.7 3
8.3 0.36 0.57 15 0.052 35 256 1.0001 2.93 0.64 8.6 1
7.2 0.29 0.18 8.2 0.042 41 180 0.99644 3.16 0.49 9.1 1
5.9 0.34 0.31 2 0.03 38 142 0.98892 3.4 0.41 12.9 3
5.9 0.24 0.3 2 0.033 28 92 0.99225 3.39 0.69 10.9 3
6.9 0.46 0.2 0.9 0.054 5 126 0.992 3.1 0.42 10.4 2
6.8 0.18 0.35 5.4 0.054 53 143 0.99287 3.1 0.54 11 3
6.4 0.37 0.49 13.3 0.045 53 243 0.9982 3.14 0.48 8.5 2
5.6 0.32 0.32 8.3 0.043 32 105 0.99266 3.24 0.47 11.2 2
5.6 0.26 0.18 1.4 0.034 18 135 0.99174 3.32 0.35 10.2 2
7.8 0.25 0.28 7.2 0.04 46 179 0.99541 3.14 0.6 10.1 2
7.3 0.21 0.3 10.9 0.037 18 112 0.997 3.4 0.5 9.6 2
6.3 0.22 0.43 4.55 0.038 31 130 0.9918 3.35 0.33 11.5 3
8.3 0.25 0.33 2.5 0.053 12 72 0.99404 2.89 0.48 9.5 1
6 0.24 0.41 1.3 0.036 42 118 0.99018 3.04 0.64 11.75 2
8.3 0.33 0.43 9.2 0.046 22 126 0.9982 3.38 0.47 9.3 1
5.8 0.17 0.34 1.8 0.045 96 170 0.99035 3.38 0.9 11.8 3
8.4 0.58 0.27 12.15 0.033 37 116 0.9959 2.99 0.39 10.8 2
5.8 0.13 0.22 12.7 0.058 24 183 0.9956 3.32 0.42 11.7 2
6.8 0.25 0.37 3.1 0.026 29 93 0.99035 3.14 0.45 12.2 2
6.1 0.31 0.37 8.4 0.031 70 170 0.9934 3.42 0.4 11.7 3
6.9 0.28 0.3 1.6 0.047 46 132 0.9918 3.35 0.38 11.1 3
7.3 0.26 0.49 5 0.028 32 107 0.9936 3.24 0.54 10.8 2
7.2 0.4 0.49 1.1 0.048 11 138 0.9929 3.01 0.42 9.3 1
7.1 0.18 0.39 14.5 0.051 48 156 0.99947 3.35 0.78 9.1 1
8.1 0.29 0.49 7.1 0.042 22 124 0.9944 3.14 0.41 10.8 2
6 0.33 0.2 1.8 0.031 49 159 0.9919 3.41 0.53 11 2
6.3 0.39 0.35 5.9 0.04 82.5 260 0.9941 3.12 0.66 10.1 1
7 0.16 0.25 14.3 0.044 27 149 0.998 2.91 0.46 9.2 2
5.8 0.28 0.34 4 0.031 40 99 0.9896 3.39 0.39 12.8 3
7 0.27 0.32 6.8 0.047 47 193 0.9938 3.23 0.39 11.4 2
7.7 0.27 0.61 12 0.046 64 179 0.9982 3.07 0.46 8.9 1
7 0.36 0.32 10.5 0.045 35 135 0.9935 3.09 0.33 11.6 3
7 0.24 0.3 12.3 0.035 72 172 0.9954 2.99 0.57 10.4 2
5.9 0.415 0.13 1.4 0.04 11 64 0.9922 3.29 0.52 10.5 1
7.6 0.2 0.3 14.2 0.056 53 212.5 0.999 3.14 0.46 8.9 3
6.5 0.24 0.29 8.2 0.043 32 156 0.99453 3.13 0.7 10.1 2
7.6 0.17 0.36 4.5 0.042 26 102 0.99427 3.09 0.47 9.5 1
8.3 0.24 0.27 2.1 0.03 22 162 0.9914 2.99 0.68 11.9 2
8.2 0.3 0.44 12.4 0.043 52 154 0.99452 3.04 0.33 12 2
6.4 0.19 0.35 10.2 0.043 40 106 0.99632 3.16 0.5 9.7 2
8 0.37 0.32 1.6 0.04 32 166 0.992 3 0.55 11.3 3
4.2 0.215 0.23 5.1 0.041 64 157 0.99688 3.42 0.44 8 1
6.5 0.19 0.28 1.4 0.046 22 90 0.99038 3.18 0.51 11.7 3
6.6 0.22 0.28 4.9 0.042 51 180 0.9952 3.3 0.75 9.5 2
6 0.28 0.52 6.2 0.028 37 104 0.99161 3.28 0.51 11.8 3
4.7 0.67 0.09 1 0.02 5 9 0.98722 3.3 0.34 13.6 1
6.8 0.28 0.35 2.3 0.042 16 85 0.9906 3.19 0.56 12.4 2
7.8 0.19 0.26 8.9 0.039 42 182 0.996 3.18 0.46 9.9 2
5.7 0.335 0.34 1 0.04 13 174 0.992 3.27 0.66 10 1
6.6 0.285 0.49 11.4 0.035 57 137 0.99732 3.08 0.54 8.9 2
7.2 0.23 0.25 18.8 0.085 19 111 1.00044 3.1 0.51 8.7 1
7.4 0.18 0.24 1.4 0.047 21 106 0.99383 3.52 0.64 10.5 3
6.3 0.28 0.34 8.1 0.038 44 129 0.99248 3.26 0.29 12.1 2
8.6 0.23 0.4 4.2 0.035 17 109 0.9947 3.14 0.53 9.7 1
6.4 0.21 0.44 7.4 0.045 47 182 0.9957 3.24 0.46 9.1 1
7.8 0.28 0.34 1.6 0.028 32 118 0.9901 3 0.38 12.1 3
6.2 0.31 0.23 3.3 0.052 34 113 0.99429 3.16 0.48 8.4 1
6.5 0.46 0.31 5 0.027 15 72 0.99165 3.26 0.6 11.5 3
7.5 0.31 0.51 14.8 0.039 62 204 0.9982 3.06 0.6 9.5 1
7.2 0.28 0.54 16.7 0.045 54 200 0.999 3.08 0.49 9.5 2
6.1 0.22 0.49 1.5 0.051 18 87 0.9928 3.3 0.46 9.6 1
6.1 0.38 0.47 1.4 0.051 59 210 0.99309 3.24 0.5 9.6 1
7.2 0.21 0.36 15.7 0.045 68 183 0.99922 3.25 0.76 9.4 1
7 0.15 0.28 14.7 0.051 29 149 0.99792 2.96 0.39 9 3
6.4 0.23 0.35 4.6 0.039 43 147 0.99216 3.18 0.4 11 3
6.4 0.29 0.18 15 0.04 21 116 0.99736 3.14 0.5 9.2 1
7 0.28 0.32 7.75 0.032 30 114 0.99158 3.12 0.64 12.8 3
7.1 0.18 0.49 1.3 0.033 12 72 0.99072 3.05 0.53 11.3 3
7.6 0.35 0.47 13.3 0.037 42 116 0.99822 3.04 0.5 9.2 1
6.6 0.22 0.58 1.1 0.133 52 136 0.9932 3.1 0.3 9.1 1
6.5 0.26 0.34 16.3 0.051 56 197 1.0004 3.49 0.42 9.8 1
5.9 0.26 0.29 5.4 0.046 34 116 0.99224 3.24 0.41 11.4 2
6.3 0.32 0.32 1.5 0.03 24 101 0.98923 3.21 0.42 13 1
7.1 0.2 0.36 11.6 0.042 45 124 0.997 2.92 0.59 9.5 3
7.1 0.23 0.35 16.5 0.04 60 171 0.999 3.16 0.59 9.1 2
6.1 0.16 0.29 6 0.03 29 144 0.99474 3.68 0.46 10.7 2
5.6 0.18 0.29 2.3 0.04 5 47 0.99126 3.07 0.45 10.1 1
6.3 0.28 0.22 9.5 0.04 30 111 0.99338 3.05 0.31 10.8 1
6.9 0.27 0.4 14 0.05 64 227 0.9979 3.18 0.58 9.6 2
9 0.22 0.49 10.4 0.048 52 195 0.9987 3.31 0.44 10.2 2
7 0.2 0.37 2 0.03 26 136 0.9932 3.28 0.61 10.2 2
7 0.22 0.28 1.5 0.037 29 115 0.9927 3.11 0.55 10.5 2
5.9 0.32 0.26 1.5 0.057 17 141 0.9917 3.24 0.36 10.7 1
7.2 0.39 0.62 11 0.047 66 178 0.9976 3.16 0.5 8.7 1
7.4 0.49 0.24 15.1 0.03 34 153 0.9953 3.13 0.51 12 3
6.2 0.28 0.45 7.5 0.045 46 203 0.99573 3.26 0.46 9.2 2
7.2 0.23 0.32 8.5 0.058 47 186 0.9956 3.19 0.4 9.9 2
7.4 0.29 0.29 1.6 0.045 53 180 0.9936 3.34 0.68 10.5 2
6.5 0.5 0.22 4.1 0.036 35 131 0.9902 3.26 0.55 13 3
6.3 0.23 0.22 17.45 0.054 42 151 0.99853 3.12 0.6 9.3 2
6.3 0.3 0.91 8.2 0.034 50 199 0.99394 3.39 0.49 11.7 2
6.5 0.21 0.28 1.4 0.046 26 66 0.99199 3.43 0.48 11.1 2
6.1 0.17 0.42 15.1 0.033 28 124 0.99684 2.87 0.47 9.5 1
6.4 0.17 0.27 9.9 0.047 26 101 0.99596 3.34 0.5 9.9 2
6.3 0.28 0.24 8.45 0.031 32 172 0.9958 3.39 0.57 9.7 3
7.2 0.26 0.32 10.4 0.062 23 114 0.9966 3.23 0.49 10.5 1
7 0.28 0.33 14.6 0.043 47 168 0.9994 3.34 0.67 8.8 2
6.9 0.54 0.32 13.2 0.05 53 236 0.9973 3.2 0.5 9.6 1
5.8 0.2 0.24 1.4 0.033 65 169 0.99043 3.59 0.56 12.3 3
5.8 0.3 0.38 4.9 0.039 22 86 0.98963 3.23 0.58 13.1 3
5.8 0.26 0.24 9.2 0.044 55 152 0.9961 3.31 0.38 9.4 1
7.7 0.23 0.31 10.7 0.038 59 186 0.9969 3.12 0.55 9.5 2
6.2 0.255 0.24 1.7 0.039 138.5 272 0.99452 3.53 0.53 9.6 1
7.6 0.27 0.29 2.5 0.059 37 115 0.99328 3.09 0.37 9.8 1
6.9 0.28 0.37 9.1 0.037 16 76 0.9948 3.05 0.54 11.1 1
6.6 0.42 0.33 2.8 0.034 15 85 0.99 3.28 0.51 13.4 2
6.1 0.22 0.5 6.6 0.045 30 122 0.99415 3.22 0.49 9.9 2
6.6 0.78 0.5 1.5 0.045 30 133 0.99104 3.25 0.48 11.7 1
8.4 0.2 0.27 6.3 0.048 30 143 0.9966 3.25 0.5 9.1 2
7.2 0.08 0.49 1.3 0.05 18 148 0.9945 3.46 0.44 10.2 2
5.1 0.33 0.27 6.7 0.022 44 129 0.99221 3.36 0.39 11 3
6.6 0.23 0.37 8.5 0.036 46 153 0.99576 3.2 0.48 9.4 2
7.7 0.3 0.26 18.95 0.053 36 174 0.99976 3.2 0.5 10.4 1
6.5 0.33 0.28 6.1 0.018 41 103 0.99122 3.24 0.32 12.2 2
8.7 0.31 0.73 14.35 0.044 27 191 1.00013 2.96 0.88 8.7 1
5.7 0.22 0.22 16.65 0.044 39 110 0.99855 3.24 0.48 9 2
7.1 0.21 0.31 3.8 0.021 40 142 0.99215 3.17 0.39 10.8 3
8 0.3 0.49 9.4 0.046 47 188 0.9964 3.14 0.48 10 1
7.3 0.32 0.23 13.7 0.05 49 197 0.9985 3.2 0.46 8.7 1
7.9 0.25 0.29 5.3 0.031 33 117 0.9918 3.06 0.32 11.8 3
6 0.28 0.49 6.8 0.048 61 222 0.9953 3.19 0.47 9.3 1
6.2 0.17 0.3 1.1 0.037 14 79 0.993 3.5 0.54 10.3 2
7.1 0.24 0.41 17.8 0.046 39 145 0.9998 3.32 0.39 8.7 1
6.4 0.14 0.31 1.2 0.034 53 138 0.99084 3.38 0.35 11.5 3
6 0.28 0.34 1.6 0.119 33 104 0.9921 3.19 0.38 10.2 2
7.4 0.16 0.3 13.7 0.056 33 168 0.99825 2.9 0.44 8.7 3
7.7 0.3 0.32 1.6 0.037 23 124 0.9919 2.93 0.33 11 2
7.4 0.2 0.31 1.6 0.038 34 116 0.9912 3.25 0.39 12 3
6.8 0.22 0.35 5.5 0.043 21 114 0.9938 3.3 0.53 10.7 3
7.1 0.25 0.31 2.3 0.05 32 156 0.9914 3.14 0.51 11.4 2
4.9 0.47 0.17 1.9 0.035 60 148 0.98964 3.27 0.35 11.5 2
6.5 0.43 0.28 11.25 0.032 31 87 0.9922 3.02 0.38 12.4 2
7.6 0.26 0.58 7.9 0.041 62 180 0.9966 3.07 0.38 9 1
9.6 0.29 0.46 1.45 0.039 77.5 223 0.9944 2.92 0.46 9.5 2
